seed,method,query,baseline,scale,expected_K
31002,v2_legacy,8,70.96469062832641,0.4927918460735544,18.052501285283114
31002,v2_legacy,9,71.04063810266113,0.4701809511935605,17.77440459225681
31002,v2_legacy,10,71.08086768212891,0.42614476095484843,17.64328094727394
31002,v2_legacy,11,71.09733134570314,0.39091580876387877,17.58889382237338
31002,v2_legacy,12,71.11962227656252,0.362732647011103,17.512383330620278
31002,v2_legacy,13,71.13043502125002,0.3401861176088824,17.474571359605992
31002,v2_legacy,14,71.13237081700002,0.3221488940871059,17.46754060083901
31002,v2_legacy,15,71.14158625360002,0.3077191152696847,17.432627485500205
31002,v2_legacy,16,71.18069460288002,0.2961752922157478,17.28621332557177
31002,v2_raw_aggregate,1,70.51271600000001,0.6816392451475057,20.336742020049577
31002,v2_raw_aggregate,2,70.67894360000001,0.711538996118001,19.312955222107707
31002,v2_raw_aggregate,3,70.80788048000001,0.6981680768943985,18.71915867753383
31002,v2_raw_aggregate,4,70.68088678400001,0.6855281575155213,19.1340105938351
31002,v2_raw_aggregate,5,70.78311222720001,0.6506479692124153,18.696735907766588
31002,v2_raw_aggregate,6,70.87824698176001,0.6156531299299309,18.336561774675467
31002,v2_raw_aggregate,7,70.90591678540801,0.5425225039439447,18.2772894109663
31002,v2_raw_aggregate,8,70.96469062832641,0.4927918460735544,18.052501285283114
31002,v2_raw_aggregate,9,71.04063810266113,0.4701809511935605,17.77440459225681
31002,v2_raw_aggregate,10,71.08086768212891,0.42614476095484843,17.64328094727394
31002,v2_raw_aggregate,11,71.09733134570314,0.39091580876387877,17.58889382237338
31002,v2_raw_aggregate,12,71.11962227656252,0.362732647011103,17.512383330620278
31002,v2_raw_aggregate,13,71.13043502125002,0.3401861176088824,17.474571359605992
31002,v2_raw_aggregate,14,71.13237081700002,0.3221488940871059,17.46754060083901
31002,v2_raw_aggregate,15,71.14158625360002,0.3077191152696847,17.432627485500205
31002,v2_raw_aggregate,16,71.18069460288002,0.2961752922157478,17.28621332557177
31002,v3_conditioned,1,70.51271600000001,0.6816392451475057,21.627436234884147
31002,v3_conditioned,2,70.67894360000001,0.711538996118001,21.55177274996241
31002,v3_conditioned,3,70.80788048000001,0.6981680768943985,21.479635715723802
31002,v3_conditioned,4,70.87638158400001,0.6270355655155166,21.43598939930651
31002,v3_conditioned,5,70.9347080672,0.5599549356124103,21.392446728061525
31002,v3_conditioned,6,70.98359605376001,0.49796394848992825,21.350115134917488
31002,v3_conditioned,7,70.99019604300801,0.4483711587919426,21.36038374284274
