seed,method,query,mask,K,status,cache_hit,area,wns,score,best_so_far,seed_relative_gain
31003,v3_conditioned,2,0x00800000,1,success,True,282.758,6.97208,69.438042,71.474664,0.0
31003,v3_conditioned,3,0x7fbf4200,16,success,False,380.114,7.13628,70.982686,71.474664,0.0
31003,v3_conditioned,4,0x7fff8000,16,success,True,383.572,7.17207,71.337128,71.474664,0.0
31003,v3_conditioned,5,0x7ffba000,16,success,True,380.114,7.15653,71.185186,71.474664,0.0
31003,v3_conditioned,6,0x7ff38440,16,success,True,378.252,7.14842,71.105948,71.474664,0.0
31003,v3_conditioned,7,0x7ffae000,16,success,True,377.986,7.15347,71.156714,71.474664,0.0
31003,v3_conditioned,8,0x7ffe0600,16,success,True,380.114,7.1573,71.192886,71.474664,0.0
31003,v3_conditioned,9,0x7c000220,7,success,False,343.406,6.98751,69.531694,71.474664,0.0
31003,v3_conditioned,10,0x7fff1000,16,success,True,383.572,7.17936,71.410028,71.474664,0.0
31003,v3_conditioned,11,0x7ff2c600,16,success,True,375.06,7.14662,71.09114,71.474664,0.0
31003,v3_conditioned,12,0x7fff0200,16,success,True,383.572,7.173,71.346428,71.474664,0.0
31003,v3_conditioned,13,0x7fff2000,16,success,True,383.572,7.1728,71.344428,71.474664,0.0
31003,v3_conditioned,14,0x7ffe1040,16,success,True,380.114,7.15804,71.200286,71.474664,0.0
31003,v3_conditioned,15,0x7ff9e000,16,success,False,377.986,7.15039,71.125914,71.474664,0.0
31003,v3_conditioned,16,0x64314000,7,success,False,337.022,7.08166,70.479578,71.474664,0.0
31003,v2_frozen,1,0x7e200000,7,success,True,357.504,7.01954,69.837896,71.474664,0.0
31003,v2_frozen,2,0x00800000,1,success,True,282.758,6.97208,69.438042,71.474664,0.0
31003,v2_frozen,3,0x7fbf4200,16,success,True,380.114,7.13628,70.982686,71.474664,0.0
31003,v2_frozen,4,0x7fff8000,16,success,True,383.572,7.17207,71.337128,71.474664,0.0
31003,v2_frozen,5,0x7ff06a20,16,success,False,372.932,7.15433,71.170368,71.474664,0.0
31003,v2_frozen,6,0x7ff1c220,16,success,False,375.326,7.14582,71.082874,71.474664,0.0
31003,v2_frozen,7,0x7fffe008,19,success,False,387.828,7.17457,71.357872,71.474664,0.0
31003,v2_frozen,8,0x7ffe0600,16,success,True,380.114,7.1573,71.192886,71.474664,0.0
31003,v2_frozen,9,0x7c000110,7,success,False,343.406,6.98225,69.479094,71.474664,0.0
31003,v2_frozen,10,0x7e020000,7,success,False,357.504,7.13529,70.995396,71.474664,0.0
31003,v2_frozen,11,0x51303000,7,success,False,345.002,6.97401,69.395098,71.474664,0.0
31003,v2_frozen,12,0x7fff0100,16,success,False,383.572,7.17318,71.348228,71.474664,0.0
31003,v2_frozen,13,0x62000000,3,success,False,326.648,6.98511,69.524452,71.474664,0.0
31003,v2_frozen,14,0x7ffe0820,16,success,False,380.114,7.15519,71.171786,71.474664,0.0
31003,v2_frozen,15,0x08000000,1,success,False,292.068,6.944,69.147932,71.474664,0.0
31003,v2_frozen,16,0x00080000,1,success,False,282.758,6.97155,69.432742,71.474664,0.0
